SG_UF,SG_PARTIDO,NM_PARTIDO,NM_FORNECEDOR,DT_PAGAMENTO,VR_GASTO,DS_GASTO_CONCAT
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-03-16,102000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-03-16,102000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-03-07,100000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-03-07,100000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-07-19,94100,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PT,PARTIDO DOS TRABALHADORES,BANCO CENTRAL DO BRASIL - BACENJUD,2018-10-01,76693.22,DESPESAS JUDICIAIS - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-08-08,67450,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA,2018-08-08,67450,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MT,PTB,PARTIDO TRABALHISTA BRASILEIRO,Direção Municipal/Comissão Provisória - MDB - CUIABÁ - MT,2018-03-06,230000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
MT,PODE,PODEMOS,LIDER TAXI AEREO S/A - AIR BRASIL,2018-10-12,226331.3,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
MT,PODE,PODEMOS,LIDER TAXI AEREO S/A - AIR BRASIL,2018-10-30,200047.1,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
MT,PTB,PARTIDO TRABALHISTA BRASILEIRO,Direção Municipal/Comissão Provisória - MDB - CUIABÁ - MT,2018-02-02,200000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
MT,PTB,PARTIDO TRABALHISTA BRASILEIRO,Direção Municipal/Comissão Provisória - MDB - CUIABÁ - MT,2018-01-16,199000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
MT,PTB,PARTIDO TRABALHISTA BRASILEIRO,Direção Municipal/Comissão Provisória - MDB - CUIABÁ - MT,2018-04-02,125000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
MT,PODE,PODEMOS,MINAS LOCADORA DE VEICULOS E MAQUINAS LTDA - ME,2018-12-20,124800,ALUGUÉIS E CONDOMÍNIOS - LOCAÇÃO DE BENS IMÓVEIS - ORDINÁRIAS
MT,DEM,DEMOCRATAS,GPP PLANEJAMENTO E PESQUISA LTDA,2018-06-25,84000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MT,DEM,DEMOCRATAS,"SANTIAGO - INFORMAÇÃO, DADOS E AÇÃO INSTITUCIONAL EIRELI",2018-08-09,82500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MT,DEM,DEMOCRATAS,"SANTIAGO - INFORMAÇÃO, DADOS E AÇÃO INSTITUCIONAL EIRELI",2018-07-16,82500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PA,REPUBLICANOS,REPUBLICANOS,R R CHEVROLET,2018-07-19,103000,ATIVO PERMANENTE - BENS MÓVEIS - VEÍCULOS
PA,PSOL,PARTIDO SOCIALISMO E LIBERDADE,Direção Municipal/Comissão Provisória - PSOL - BELÉM - PA,2018-02-07,80000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PA,PT,PARTIDO DOS TRABALHADORES,INSTITUTO NACIONAL DO SEGURO SOCIAL,2018-01-01,62856.44,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
PA,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,CIRCULO ENGENHARIA LTDA,2018-04-26,58311.11,ATIVO PERMANENTE - BENS IMÓVEIS - EDIFICAÇÕES
PA,PT,PARTIDO DOS TRABALHADORES,UIRAPURU TURISMO LTDA,2018-05-17,45189.14,TRANSPORTES E VIAGENS - PASSAGENS AÉREAS - ORDINÁRIAS
PA,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PEMA PEREIRA MACHADO TAXI AEREO,2018-07-09,43000,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
PA,PT,PARTIDO DOS TRABALHADORES,UIRAPURU TURISMO LTDA,2018-03-01,40000,TRANSPORTES E VIAGENS - PASSAGENS AÉREAS - ORDINÁRIAS
PA,PSD,PARTIDO SOCIAL DEMOCRÁTICO,ANNA'S SERVIÇOS E COMÉRCIO LTDA,2018-09-24,39804,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
PA,PSB,PARTIDO SOCIALISTA BRASILEIRO,UNICA IMPRESSÃO DIGITAL E GRAFICA EIRELLI,2018-04-10,30000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
PA,PSB,PARTIDO SOCIALISTA BRASILEIRO,UNICA IMPRESSÃO DIGITAL E GRAFICA EIRELLI,2018-06-28,30000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
PB,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,RANGEL E DANIANE ADVOCACIA,2018-08-15,300000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
PB,PT,PARTIDO DOS TRABALHADORES,LIAMARA BORRELLI BARROS,2017-12-31,100000,ATIVO PERMANENTE - BENS IMÓVEIS - EDIFICAÇÕES
PB,PSB,PARTIDO SOCIALISTA BRASILEIRO,PARTIDO SOCIALISTA BRASILEIRO- DIREÇÃO NACIONAL,2018-08-15,100000,ADIANTAMENTOS DIVERSOS - OUTROS ADIANTAMENTOS DIVERSOS
PB,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,OPINIÃO PESQUISAS SOCIAIS LTDA,2018-09-04,59100,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PB,PT,PARTIDO DOS TRABALHADORES,MINISTERIO DA FAZENDA,2017-12-31,49384.5,TRIBUTOS - TAXAS - ORDINÁRIAS
PB,PSB,PARTIDO SOCIALISTA BRASILEIRO,PRATICA SINALIZAÇÃO LTDA,2018-09-13,48980,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
PB,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,SECRETARIA DA RECEITA FEDERAL DO BRASIL,2018-08-08,46104.22,PESSOAL - FGTS - ORDINÁRIAS
PB,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,MERCADOLOGICA SOLUÇÕES EM PESQUISA INTELIGENCIA E MARKETING EIRELI ME,2018-03-01,44100,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PB,PSB,PARTIDO SOCIALISTA BRASILEIRO,WELL CAR COMISSARIA DE VEICULOS LTDA - EPP,2018-09-11,40000,ALUGUÉIS E CONDOMÍNIOS - LOCAÇÃO DE BENS MÓVEIS - ORDINÁRIAS
PB,PTB,PARTIDO TRABALHISTA BRASILEIRO,NOGUEIRA FORMIGA ADVOGADOS ASSOCIADOS,2018-12-05,35000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
PE,PSB,PARTIDO SOCIALISTA BRASILEIRO,NEO MARKETING SPE LTDA,2018-08-28,250000,PROPAGANDA E PUBLICIDADE - MULHERES
PE,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ADVOCACIA LUCIANA LOSSIO,2018-03-16,117000.12,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
PE,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,EMPRESA BRASILEIRA DE PROPAGANDA LTDA,2018-08-03,115000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
PE,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Municipal/Comissão Provisória - PSDB - JABOATÃO DOS GUARARAPES - PE,2018-06-27,100000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PE,PSB,PARTIDO SOCIALISTA BRASILEIRO,PARTIDO SOCIALISTA BRASILEIRO - DIRETÓRIO NACIONAL,2018-01-17,70960.18,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
PE,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,"NEVES, COUTINHO E ADVOGADOS ASSOCIADOS",2018-03-05,60000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
PE,PSB,PARTIDO SOCIALISTA BRASILEIRO,URSO FILMES EIRELI,2018-08-09,60000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
PE,PTB,PARTIDO TRABALHISTA BRASILEIRO,MARCIO ALVES ADVOGADOS ASSOCIADOS,2018-08-23,60000,OUTROS ORDINÁRIAS
PE,DEM,DEMOCRATAS,OPNUS ESTRATEGIA PESQUISA DE OPNIÃO E MERCADO EIRELI,2018-09-11,50000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PE,PL,PARTIDO LIBERAL,UNIPAUTA FORMULARIOS LTDA,2018-06-29,50000,CONGRESSOS - MULHERES
PI,PL,PARTIDO LIBERAL,Direção Municipal/Comissão Provisória - PR - TERESINA - PI,2018-07-11,200000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PI,PTB,PARTIDO TRABALHISTA BRASILEIRO,HORIZONTE INTELIGENCIA PESQUISA LTDA,2018-09-28,103750,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,FLAVIO RODRIGUES NOGUEIRA,2018-09-10,100000,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PI,PL,PARTIDO LIBERAL,MULTIPLA EVENTOS MARKETING E CONS EMPRESARIAL EIRELI,2018-10-31,80000,EVENTOS PROMOCIONAIS - MULHERES
PI,PL,PARTIDO LIBERAL,SAMUEL BAHIA NOVAIS,2018-06-13,70000,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PI,PTB,PARTIDO TRABALHISTA BRASILEIRO,HORIZONTE INTELIGENCIA PESQUISA LTDA,2018-10-05,70000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,FLAVIO RODRIGUES NOGUEIRA,2018-09-28,66500,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PI,PP,PROGRESSISTAS,FABIO ALENCAR LUZ- ME,2018-07-26,62500,ATIVO PERMANENTE - BENS MÓVEIS - EQUIPAMENTOS DE SONORIZAÇÃO
PI,PP,PROGRESSISTAS,WASHINGTON L DE S BONFIM EIRELI - ME,2018-08-01,60000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,JOVENILIA ALVES OLIVEIRA,2018-09-13,58500,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PR,PSL,PARTIDO SOCIAL LIBERAL,PH EVENTOS E LOCAÇÃO DE MÃO DE OBRA LTDA,2018-07-03,150000,PESSOAL - OUTRAS DESPESAS COM PESSOAL - ORDINÁRIAS
PR,PSD,PARTIDO SOCIAL DEMOCRÁTICO,Direção Municipal/Comissão Provisória - PSD - MARINGÁ - PR,2018-03-22,147000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PR,PSD,PARTIDO SOCIAL DEMOCRÁTICO,Direção Municipal/Comissão Provisória - PSD - ROLÂNDIA - PR,2018-03-05,147000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,BANCO DO BRASIL S/A,2018-09-19,145143,ADIANTAMENTOS DIVERSOS - OUTROS ADIANTAMENTOS DIVERSOS
PR,SDD,SOLIDARIEDADE,SERZEGRAF INDUSTRIA EDITORA GRÁFICA LTDA,2018-01-12,130350,PUBLICAÇÕES - ORDINÁRIAS
PR,SDD,SOLIDARIEDADE,PH EVENTOS E LOCAÇÃO DE MÃO DE OBRA LTDA,2018-01-24,109689.25,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Nacional - PSDB,2018-08-13,100000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO NACIONAL - ORDINÁRIAS
PR,SDD,SOLIDARIEDADE,IRMÃOS MADALOSSO LTDA,2018-01-10,92720,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,COSTA SERVIÇOS DE RECEPÇÃO PERSONALIZADA - EIRELE - EPP,2018-07-01,89600,SEGURANÇA E VIGILÂNCIA - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,COSTA SERVIÇOS DE RECEPÇÃO PERSONALIZADA - EIRELE - EPP,2018-08-29,80940,SEGURANÇA E VIGILÂNCIA - ORDINÁRIAS
RJ,DEM,DEMOCRATAS,Direção Municipal/Comissão Provisória - DC - VALENÇA - RJ,2018-03-06,301400,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
RJ,PL,PARTIDO LIBERAL,BANCO DO BRASIL S.A.,2018-07-18,292864.48,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
